item_id,source,ticket_id,predicted_category,top_similarity,context_distinct_fixes,human_label,human_hedge_appropriate,judge_label,judge_hedge_appropriate,agreement,unsupported_span,label_reason
G001,novel-45,N38,Network,0.6950258016586304,1,grounded,True,grounded,True,True,,
G002,novel-45,N07,Database,0.8307088017463684,2,grounded,True,grounded,True,True,,
G003,novel-45,N17,Application,0.671837329864502,3,grounded,True,grounded,True,True,,
G004,novel-45,N24,Storage,0.699328601360321,2,grounded,True,grounded,True,True,,
G005,novel-45,N37,Network,0.7308971881866455,1,grounded,True,grounded,True,True,,
G006,novel-45,N19,Storage,0.6701457500457764,2,grounded,True,grounded,True,True,,
G007,novel-45,N29,Security,0.7032899856567383,2,grounded,True,grounded,True,True,,
G008,novel-45,N22,Database,0.6996182203292847,2,grounded,True,grounded,True,True,,
G009,novel-45,N16,Application,0.7240623235702515,3,grounded,True,grounded,True,True,,
G010,novel-45,N21,Application,0.6754908561706543,3,grounded,True,grounded,True,True,,
G011,novel-45,N27,Storage,0.7543913125991821,1,grounded,True,grounded,True,True,,
G012,novel-45,N32,Access Management,0.689045786857605,3,grounded,True,ungrounded,True,False,,
G013,novel-45,N11,Application,0.7324777245521545,4,grounded,True,grounded,True,True,,
G014,novel-45,N40,Storage,0.7361388206481934,2,grounded,True,grounded,True,True,,
G015,novel-45,N34,Access Management,0.7052785158157349,2,grounded,True,grounded,True,True,,
G016,novel-45,N08,Database,0.7711212038993835,3,grounded,True,grounded,True,True,,
G017,novel-45,N35,Access Management,0.7036538124084473,3,grounded,True,grounded,True,True,,
G018,novel-45,N01,Access Management,0.6753429174423218,1,grounded,True,grounded,True,True,,
G019,adversarial-9,A05,Application,0.6765815019607544,4,grounded,True,grounded,True,True,,
G020,novel-45,N20,Application,0.6982809901237488,2,grounded,True,grounded,True,True,,
G021,novel-45,N26,Storage,0.7010266780853271,2,ungrounded,True,grounded,True,False,"please manually inspect the user's local hard drive usage, identify large old files or temporary data, and assist the user in clearing out unnecessary files",
G022,novel-45,N03,Network,0.7057803869247437,1,grounded,True,grounded,True,True,,
G023,novel-45,N25,Storage,0.7354455590248108,1,grounded,True,grounded,True,True,,
G024,novel-45,N31,Storage,0.6747423410415649,1,ungrounded,True,grounded,True,False,immediately disconnect the computer from the network... and escalate this ticket to the security/incident response team,
G025,novel-45,N04,Application,0.7591496706008911,2,grounded,True,grounded,True,True,,
G026,adversarial-9,A03,Access Management,0.6704270839691162,4,grounded,True,grounded,True,True,,
G027,novel-45,N05,Storage,0.7308734059333801,1,grounded,True,grounded,True,True,,
G028,novel-45,N39,Database,0.7392354607582092,2,grounded,True,grounded,True,True,,
G029,adversarial-9,A09,Security,0.6896988153457642,4,grounded,True,grounded,True,True,,
G030,novel-45,N10,Security,0.6733653545379639,2,grounded,True,grounded,True,True,,
G031,novel-45,N33,Access Management,0.7361786365509033,1,grounded,True,grounded,True,True,,
G032,novel-45,N02,Storage,0.8112151622772217,1,grounded,True,grounded,True,True,,
G033,novel-45,N09,Security,0.7071911096572876,2,grounded,False,grounded,True,True,,
