item_id,ticket_id,groundedness_item_id,top_similarity,human_label,rater_verdict,rater_reason,draft_declines_posthoc
S004,A03,G026,0.6704270839691162,grounded,INSUFFICIENT,"The retrieved tickets address specific database connection errors and application login issues for named portals, whereas the new ticket is extremely vague and reports a total inability to access anything without specifying the underlying cause or system involved.",False
S005,N27,G011,0.7543913125991821,grounded,INSUFFICIENT,"The retrieved tickets deal with permission errors when opening files, whereas the new ticket reports a storage quota or permission issue specifically preventing saving new files to a shared folder.",False
S007,N24,G004,0.699328601360321,grounded,INSUFFICIENT,"The retrieved context deals with organizational data center storage quotas and primary storage volume capacity, whereas the new ticket is about an individual user's cloud account storage being full.",False
S008,A05,G019,0.6765815019607544,grounded,INSUFFICIENT,"The new ticket provides no details about the specific problem, application, or error, whereas the retrieved tickets address specific connection issues for named applications.",False
S009,N39,G028,0.7392354607582092,grounded,INSUFFICIENT,"The retrieved tickets address general VPN connection timeouts for specific office pools or remote user groups, whereas the new ticket describes an inability to open the company portal over the new VPN from home.",False
S010,N11,G013,0.7324777245521545,grounded,INSUFFICIENT,"The retrieved tickets cover login failures, database connection errors, and slow page loads, but none address the application freezing on the loading screen and crashing.",False
S011,N17,G003,0.671837329864502,grounded,INSUFFICIENT,"The retrieved tickets address NTP drift and stale data issues, but none address a grayed-out submit button preventing time-sheet submission in the time-tracking app.",True
S012,N33,G031,0.7361786365509033,grounded,INSUFFICIENT,"The retrieved tickets address a session cookie misconfiguration causing login redirect loops, whereas the new ticket involves a locked profile and an unconfigured security code for remote access.",False
S013,N40,G014,0.7361388206481934,grounded,INSUFFICIENT,None of the retrieved tickets address the printer unavailability issue mentioned in the new ticket.,False
S016,N04,G025,0.7591496706008911,grounded,INSUFFICIENT,"The retrieved tickets address slowness for specific applications like Payroll, Learning Management System, and Billing Portal, but the new ticket does not specify which application or service is experiencing the slowness.",False
S017,N29,G007,0.7032899856567383,grounded,INSUFFICIENT,"The retrieved tickets address user lockouts and bulk brute-force attacks, but lack instructions for proactively securing an account after a suspected credential compromise attempt reported by the user.",False
S019,N05,G027,0.7308734059333801,grounded,INSUFFICIENT,"The retrieved tickets address server-side storage volume capacity issues affecting multiple services, whereas the new ticket describes a local client-side drive full error preventing an individual user from downloading a report.",False
S021,N16,G009,0.7240623235702515,grounded,INSUFFICIENT,"The retrieved tickets deal with report generation timeouts due to database missing indexes and stale cache data, whereas the new ticket describes a session expiration error when uploading presentation slides to the company video tool.",True
S023,N32,G012,0.689045786857605,grounded,INSUFFICIENT,"The retrieved tickets address app-wide login loop errors caused by cookie misconfigurations, whereas the new ticket is a new user needing account setup and permissions to access the application.",False
S025,N34,G015,0.7052785158157349,grounded,INSUFFICIENT,"The retrieved tickets address site-wide login redirect loops due to cookie misconfigurations, whereas the new ticket reports an individual user account being disabled.",False
S032,N37,G005,0.7308971881866455,grounded,INSUFFICIENT,"The retrieved tickets address server-side file share service crashes, whereas the new ticket describes a client-side network connectivity issue indicated by a yellow triangle on the taskbar.",False
S033,N19,G006,0.6701457500457764,grounded,INSUFFICIENT,"The retrieved context lacks any tickets addressing spreadsheet formula corruption during file sharing, containing only payroll upload crashes and file share mounting issues.",True
S035,A09,G029,0.6896988153457642,grounded,INSUFFICIENT,"The retrieved tickets address individual user SSO assignment failures, whereas the new ticket reports a persistent authentication failure across all provisioned endpoints requiring global remediation.",False
S040,N03,G022,0.7057803869247437,grounded,INSUFFICIENT,"The retrieved tickets address a complete Wi-Fi outage affecting an entire office due to a controller configuration loss, whereas the new ticket describes intermittent Wi-Fi drops localized to a single meeting room while the rest of the building is fine.",False
S041,N38,G001,0.6950258016586304,grounded,INSUFFICIENT,"The retrieved tickets address an office-wide Wi-Fi outage caused by a wireless controller configuration loss, whereas the new ticket describes a single laptop's inability to connect to the network.",False
S046,N08,G016,0.7711212038993835,grounded,INSUFFICIENT,"The retrieved tickets address connection errors for specific named applications (Payroll, Procurement Portal, Expense Tracker, HR Self-Service), but the new ticket refers generally to 'the report tool' without specifying which application or backend data store is affected.",False
S047,N10,G030,0.6733653545379639,grounded,INSUFFICIENT,"The retrieved tickets deal with confirmed trojans detected and quarantined by the EDR agent on specific endpoints, whereas the new ticket is a user-reported antivirus warning about a potentially blocked suspicious item without confirmation of an active infection.",False
S048,N21,G010,0.6754908561706543,grounded,INSUFFICIENT,"The retrieved context lacks a solution for client tracker address entry loss and blank search pages, focusing instead on Expense Tracker DNS, database connection, and search index issues.",False
S049,N22,G008,0.6996182203292847,grounded,INSUFFICIENT,The retrieved tickets deal with data caching and connection issues rather than deleted entries reappearing due to persistence or save failures in a lookup list.,False
S050,N25,G023,0.7354455590248108,grounded,INSUFFICIENT,"The retrieved tickets address failing to mount or map file shares on new machines due to SMB protocol settings, whereas the new ticket is about running out of disk space when copying folders.",False
S052,N02,G032,0.8112151622772217,grounded,INSUFFICIENT,"The retrieved tickets deal with users who can see the folder but get 'access denied' when opening files inside it, whereas the new ticket describes a user who cannot access the folder at all and needs permissions granted to open it.",False
