batch_ticket_id,original_id,category,scenario_id,resolution_status,resolution_text
2,455,Infrastructure,3,auto_resolved,"**Suggested Resolution:**
Restart the kubelet on node `PRD-WEB-01` and clear any stale disk-pressure taint. This will allow the node to rejoin the cluster and ensure stuck pending pods are successfully rescheduled.

*Note: The retrieved past tickets are an exact match for this issue; however, a human agent should still verify that the kubelet restart and taint removal complete successfully.*"
5,1314,Infrastructure,3,auto_resolved,"**Suggested Resolution:**
Restart the kubelet on node PRD-DB-11 and clear the stale disk-pressure taint. Once completed, verify that the node rejoins the cluster and the pending pods successfully reschedule.

*Note: The retrieved examples closely match this new ticket.*"
9,416,Infrastructure,1,auto_resolved,"**Suggested Resolution:**
Access the console for server PRD-APP-04 to investigate the boot process, as this is typically caused by a failed `fstab` mount blocking the boot. Correct the problematic mount entry to allow the host to boot cleanly.

*Note: The retrieved past tickets are an exact match for this issue; however, a human agent should still double-check the console logs to confirm the specific mount entry failing.*"
11,3299,Infrastructure,1,auto_resolved,"**Suggested Resolution:**
Access the console for PRD-CACHE-02 to investigate the boot process, as past tickets show a failed `fstab` mount blocking the boot. Correct the problematic mount entry to allow the host to boot cleanly.

*Note: The retrieved examples are an exact match for this issue, but a human agent should still verify the specific mount failure on the console.*"
14,3491,Infrastructure,0,auto_resolved,"**Suggested Resolution:**
Identify the runaway process on server PRD-DB-11, cap its cgroup CPU quota, and scale the service horizontally to shed load.

*Note: The retrieved examples closely match the new ticket.*"
18,1331,Infrastructure,1,auto_resolved,"**Suggested Resolution:**
Gain console access to PRD-WEB-03 to check for a failed `fstab` mount blocking the boot process. Correct the faulty mount entry, then reboot the host to ensure it boots cleanly and responds to SSH and ping.

*Note: The retrieved examples closely match this ticket and its historical fixes.*"
25,1291,Infrastructure,2,auto_resolved,"Based on the retrieved past tickets, increase the memory limit for the affected container on PRD-DB-11 and add a memory-usage alert at 80% to catch future issues earlier. 

*Note: The retrieved examples closely match the new ticket.*"
29,487,Infrastructure,1,auto_resolved,"**Suggested Resolution:**
Gain console access to server PRD-APP-03 to investigate the boot process, as it is likely stuck due to a failed `fstab` mount blocking the boot. Correct the problematic mount entry, and the host should boot cleanly.

*Note: The retrieved examples closely match this ticket; however, a human agent should double-check and verify the specific `fstab` entry during console access.*"
35,2989,Infrastructure,2,auto_resolved,"**Suggested Resolution:**
Increase the memory limit for the affected container on PRD-WEB-01 to resolve the out-of-memory kills, and add a memory-usage alert set at 80% to catch future issues earlier.

*Note: The retrieved past tickets are an exact match for this issue; however, a human agent should still verify that the container settings and alert thresholds are applied correctly.*"
38,1258,Infrastructure,5,auto_resolved,"**Suggested Resolution:**
Check if the cron job on PRD-AUTH-05 is hitting a full `/tmp` directory. Clean the `/tmp` directory and move the job's scratch space to a larger volume. 

*Note: The retrieved past tickets closely match this new ticket; however, a human agent should double-check the server state.*"
40,3100,Infrastructure,4,auto_resolved,"**Suggested Resolution:**
Reconfigure chrony on PRD-AUTH-05 to use the internal NTP pool and force an immediate sync to correct the clock drift and restore sub-millisecond accuracy. 

*Note: The retrieved examples are an exact match for this ticket; however, a human agent should still verify the resolution.*"
42,441,Infrastructure,7,auto_resolved,"**Suggested Resolution:**
Trace the I/O saturation on PRD-WEB-01 to determine if it is caused by verbose debug logging writing synchronously. Disable debug logging and move the logs to a dedicated volume to resolve the disk utilization and high I/O wait.

*Note: The retrieved examples closely match this ticket.*"
45,106,Infrastructure,4,auto_resolved,"**Suggested Resolution:**
Reconfigure chrony on PRD-WEB-01 to use the internal NTP pool and force an immediate sync to bring the drift back to sub-millisecond.

*Note: The retrieved examples closely match this ticket (exact same title and issue), so no further human verification is strictly required.*"
46,2712,Infrastructure,8,auto_resolved,"**Suggested Resolution:**
Investigate the autoscaling policy for PRD-APP-04 to check for a stale metric. Correct the scaling metric and cooldown period to ensure new instances launch on demand.

*Note: The retrieved examples are an exact match for this ticket; however, a human agent should still double-check the configuration changes before applying them.*"
47,635,Infrastructure,5,auto_resolved,"**Suggested Resolution:**
Check if the cron job on K8S-NODE-15 is hitting a full `/tmp` directory. If so, clean the `/tmp` directory and move the job's scratch space to a larger volume.

*Note: The retrieved examples are an exact match for this ticket; however, a human agent should still double-check the execution.*"
48,918,Infrastructure,0,auto_resolved,"**Suggested Resolution:**
Identify the runaway process on K8S-NODE-14, cap its cgroup CPU quota, and scale the service horizontally to shed load.

*Note: The retrieved examples are an exact match for this ticket, so a human agent can apply this standard resolution directly.*"
50,983,Infrastructure,2,auto_resolved,"**Suggested Resolution:**
Increase the memory limit for the affected container on PRD-APP-04 and add a memory-usage alert set at 80% to catch future memory exhaustion earlier.

*Note: The retrieved past tickets closely match this issue and provide an exact resolution.*"
51,49,Infrastructure,5,auto_resolved,"**Suggested Resolution:**
Investigate the cron job on PRD-DB-12, as it is likely hitting a full `/tmp` directory. Clean the `/tmp` directory and move the job's scratch space to a larger volume to resolve the non-zero exit code failures.

*Note:* The retrieved examples are an exact match for this ticket; however, a human agent should double-check the server environment to ensure no other factors are contributing to the failure."
56,2320,Infrastructure,8,auto_resolved,"**Suggested Resolution:**
Inspect the autoscaling policy for PRD-DB-12 to check for a stale metric. Correct the scaling metric and cooldown period to ensure new instances can launch on demand.

*Note: The retrieved past tickets closely match this new ticket (exact duplicate title and description), so this resolution is fully supported by historical data.*"
58,1458,Infrastructure,4,auto_resolved,"**Suggested Resolution:**
Reconfigure chrony on PRD-CACHE-03 to use the internal NTP pool and force an immediate sync to correct the time drift. 

*Note: The retrieved examples closely match the new ticket.*"
60,172,Infrastructure,6,auto_resolved,"**Suggested Resolution:**
The health-check endpoint on STG-APP-08 is timing out under load. Raise the probe timeout and interval for STG-APP-08 on the load balancer so it stays reliably in rotation.

*Note: The retrieved examples are an exact match for this ticket.*"
65,3930,Infrastructure,4,auto_resolved,"**Suggested Resolution:**
Reconfigure chrony on PRD-CACHE-03 to use the internal NTP pool and force an immediate sync to bring the drift back to sub-millisecond.

*Note: The retrieved examples closely match this ticket.*"
66,3821,Infrastructure,5,auto_resolved,"**Suggested Resolution:**
Check the cron job on PRD-APP-03 to see if it is hitting a full `/tmp` directory. Clean the `/tmp` directory and move the job's scratch space to a larger volume.

*Note: The retrieved examples closely match the new ticket issue.*"
68,960,Infrastructure,6,auto_resolved,"**Suggested Resolution:**
Investigate the health-check endpoint on PRD-CACHE-02, as it is timing out under load. Raise the probe timeout and interval to keep PRD-CACHE-02 reliably in rotation.

*Note: The retrieved examples closely match the new ticket.*"
78,3531,Infrastructure,5,auto_resolved,"**Suggested Resolution:**

1. Check the cron job on VM-BATCH-09 to see if it is failing due to a full `/tmp` directory.
2. Clean the `/tmp` directory.
3. Move the job's scratch space to a larger volume to prevent future failures.

*Note: The retrieved examples are an exact match for this issue, but a human agent should double-check the steps during execution.*"
82,1780,Infrastructure,2,auto_resolved,"**Suggested Resolution:**
Increase the memory limit for the affected container on K8S-NODE-14 and add a memory-usage alert set at 80% to catch future memory exhaustion earlier. 

*Note: The retrieved examples are an exact match for this ticket, but a human agent should still double-check the configuration changes before applying them.*"
86,3090,Infrastructure,6,auto_resolved,"Based on the retrieved past tickets, the health-check endpoint on VM-BATCH-10 is likely timing out under load. To resolve this, raise the load balancer's probe timeout and interval settings to keep VM-BATCH-10 reliably in rotation.

*Note: The retrieved examples are an exact match for this ticket; however, a human agent should double-check the settings before applying them.*"
97,2378,Infrastructure,3,auto_resolved,"**Suggested Resolution:**
Restart the kubelet on node `PRD-WEB-01` and clear any stale disk-pressure taints. Verify that the node successfully rejoins the cluster and that the pending pods resume rescheduling.

*Note: The retrieved past tickets are an exact match for this issue, but a human agent should still verify the node status after applying the steps.*"
98,165,Infrastructure,0,auto_resolved,"**Suggested Resolution:**
Identify the runaway process causing high CPU utilization on server PRD-DB-11, cap its cgroup CPU quota, and scale the service horizontally to shed load and resolve request timeouts.

*Note: The retrieved past tickets closely match this issue and share the exact same symptom and resolution.*"
100,877,Infrastructure,0,auto_resolved,"**Suggested Resolution:**
Identify the runaway process on server PRD-AUTH-05, cap its cgroup CPU quota, and scale the service horizontally to shed load.

*Note: The retrieved examples closely match the new ticket.*"
103,1234,Infrastructure,1,auto_resolved,"**Suggested Resolution:**
Gain console access to PRD-WEB-03 to check for a failed `fstab` mount blocking the boot process. Once identified, correct the mount entry to allow the host to boot cleanly.

*Note: The retrieved examples closely match this new ticket and directly apply to the issue.*"
106,3990,Infrastructure,2,auto_resolved,"**Suggested Resolution:**
Increase the memory limit for the affected container on VM-BATCH-09 and add a memory-usage alert set at 80% to catch future memory exhaustion earlier. 

*Note: The retrieved past tickets closely match this new ticket.*"
114,1060,Infrastructure,8,auto_resolved,"**Suggested Resolution:**
Investigate the autoscaling policy for PRD-CACHE-03, as it is likely referencing a stale metric. Correct the scaling metric and the cooldown period to allow new instances to launch on demand.

*Note: The retrieved past tickets are an exact match for this issue; however, a human agent should still double-check the configuration changes upon application.*"
120,2856,Infrastructure,1,auto_resolved,"**Suggested Resolution:**
Gain console access to server K8S-NODE-14 to investigate the boot process, as it is likely blocked by a failed `fstab` mount. Correct the faulty mount entry, then restart or resume the boot process so the host can come back online cleanly.

*Note: The retrieved examples are an exact match for this ticket; however, a human agent should double-check the specific mount entry during console troubleshooting.*"
131,1380,Infrastructure,8,auto_resolved,"**Suggested Resolution:**
Check the autoscaling policy for PRD-APP-03 to see if it references a stale metric. Correct the scaling metric and cooldown settings so that new instances launch on demand.

*Note: The retrieved past tickets closely match this new ticket; however, a human agent should still verify that the metric and cooldown updates are successfully applied.*"
132,3404,Infrastructure,3,auto_resolved,"**Suggested Resolution:**
Restart the kubelet on node STG-APP-07 and clear the stale disk-pressure taint. This will allow the node to rejoin the cluster and ensure the stuck pending pods are successfully rescheduled.

*Note: The retrieved examples closely match this ticket.*"
136,1851,Infrastructure,0,auto_resolved,"**Suggested Resolution:**
Identify the runaway process on VM-BATCH-09, cap its cgroup CPU quota, and scale the service horizontally to shed load.

*Note: The retrieved examples closely match the new ticket.*"
138,1283,Infrastructure,5,auto_resolved,"**Suggested Resolution:**
Check the cron job on PRD-WEB-03, as it is likely hitting a full `/tmp` directory. Clean the `/tmp` directory and move the job's scratch space to a larger volume.

*Note: The retrieved examples are an exact/close match for this ticket; however, a human agent should double-check to confirm the root cause.*"
139,901,Infrastructure,7,auto_resolved,"**Suggested Resolution:**
Trace the I/O saturation on VM-BATCH-10 to verbose debug logging writing synchronously. Resolve the issue by disabling debug logging and moving the logs to a dedicated volume.

*Note: The retrieved past tickets closely match the new ticket; however, a human agent should double-check the configuration changes.*"
141,2585,Infrastructure,2,auto_resolved,"**Suggested Resolution:**
Increase the memory limit for the affected container on PRD-QUEUE-06 and add a memory-usage alert at 80% to catch future memory exhaustion issues earlier.

*Note: The retrieved examples closely match the new ticket.*"
144,1251,Infrastructure,1,auto_resolved,"**Suggested Resolution:**
Gain console access to PRD-WEB-03 to check for a failed `fstab` mount blocking the boot process. Correct the mount entry, which will allow the host to boot cleanly.

*Note: The retrieved examples are an exact match for this ticket; however, a human agent should double-check the specific mount details during console access.*"
147,2905,Infrastructure,7,auto_resolved,"**Suggested Resolution:**
Trace the I/O saturation on VM-BATCH-09 to verbose debug logging writing synchronously. Disable debug logging and move the logs to a dedicated volume to resolve the disk utilization and high I/O wait. 

*Note: The retrieved examples are an exact match for this ticket; however, a human agent should still double-check post-resolution to ensure disk performance has fully normalized.*"
151,3221,Infrastructure,4,auto_resolved,"**Suggested Resolution:**
Reconfigure chrony on PRD-AUTH-05 to use the internal NTP pool and force an immediate sync to bring the drift back to sub-millisecond. 

*Note: The retrieved past tickets match the new ticket perfectly; however, a human agent should double-check the configuration.*"
153,2633,Infrastructure,4,auto_resolved,"**Suggested Resolution:**
Reconfigure chrony on PRD-WEB-02 to use the internal NTP pool and force an immediate sync to correct the time drift. 

*Note: The retrieved examples are an exact match for this ticket, but a human agent should double-check the server's status after synchronization.*"
154,3058,Infrastructure,1,auto_resolved,"**Suggested Resolution:**
Gain console access to VM-BATCH-09 to check for a failed fstab mount blocking the boot process, then correct the mount entry so the host can boot cleanly.

*Note: The retrieved past tickets closely match this issue and support this exact resolution.*"
157,3856,Infrastructure,2,auto_resolved,"**Suggested Resolution:**
Increase the memory limit for the affected container on PRD-WEB-01, and add a memory-usage alert set at 80% to catch future memory exhaustion issues earlier.

*Note: The retrieved examples closely match the new ticket.*"
160,3331,Infrastructure,1,auto_resolved,"**Suggested Resolution:**
Gain console access to VM-BATCH-10 to check for a failed `fstab` mount blocking the boot process. Once located, correct the mount entry and restart the host so it boots cleanly.

*Note: The retrieved past tickets closely match this issue, but a human agent should still double-check the configuration changes.*"
161,3897,Infrastructure,5,auto_resolved,"**Suggested Resolution:**
Check the cron job on PRD-AUTH-05, as it is likely hitting a full `/tmp` directory. Clean the `/tmp` directory and move the job's scratch space to a larger volume to resolve the non-zero exit code failure.

*Note: The retrieved examples are an exact match for this ticket, so the standard resolution steps can be safely applied.*"
164,337,Infrastructure,7,auto_resolved,"**Suggested Resolution:**
Trace the I/O saturation on PRD-AUTH-05 to verbose debug logging writing synchronously. Disable debug logging and move the logs to a dedicated volume to resolve the disk utilization and I/O wait.

*Note: The retrieved examples closely match this new ticket; however, a human agent should double-check the configuration changes before execution.*"
167,2742,Infrastructure,1,auto_resolved,"**Suggested Resolution:**
Gain console access to server PRD-APP-04 to investigate the boot process, as it is likely blocked by a failed fstab mount. Once accessed, correct the faulty fstab mount entry to allow the host to boot cleanly.

*Note: The retrieved past tickets are an exact match for this issue; however, a human agent should still verify the mount configuration during the process.*"
168,2906,Infrastructure,3,auto_resolved,"**Suggested Resolution:**
Restart the kubelet on node PRD-APP-03 and clear the stale disk-pressure taint. This will allow the node to rejoin the cluster and ensure the pending pods are successfully rescheduled.

*Note: The retrieved examples are an exact match for this ticket; however, a human agent should double-check the node's disk status after executing the steps.*"
170,2704,Infrastructure,0,auto_resolved,"**Suggested Resolution:**
Identify the runaway process on server PRD-DB-11, cap its cgroup CPU quota, and scale the service horizontally to shed load.

*Note: The retrieved examples closely match the new ticket.*"
171,543,Infrastructure,8,auto_resolved,"**Suggested Resolution:**
Check the autoscaling policy for PRD-APP-04, as it is likely referencing a stale metric. Correct the scaling metric and cooldown settings to ensure new instances launch on demand.

*Note: The retrieved past tickets closely match this issue; however, a human agent should double-check to confirm the specific metric and cooldown values applied.*"
175,20,Infrastructure,0,auto_resolved,"**Suggested Resolution:**
Identify the runaway process on PRD-APP-03, cap its cgroup CPU quota, and scale the service horizontally to shed load.

*Note: The retrieved past tickets closely match this issue and provide the exact required resolution steps.*"
