category,cluster_id,size,batch_ticket_ids,representative_resolution_text_truncated
Infrastructure,0,14,9;11;18;29;103;144;167;231;325;383;426;432;452;462,"**Suggested Resolution:** Gain console access to PRD-APP-03 to check for a failed `fstab` mount blocking the boot process. Once identified, correct th..."
Infrastructure,1,13,2;5;97;132;168;247;264;318;356;364;419;441;467,**Suggested Resolution:** Restart the kubelet on node PRD-QUEUE-06 and clear the stale disk-pressure taint. This will allow the node to rejoin the clu...
Infrastructure,2,12,25;35;50;141;157;248;268;333;353;371;412;421,**Suggested Resolution:** Increase the memory limit for the affected container on PRD-APP-04 and add a memory-usage alert set at 80% to catch future m...
Infrastructure,3,9,14;98;100;170;175;232;424;435;486,"**Suggested Resolution:** Identify the runaway process on server PRD-CACHE-03, cap its cgroup CPU quota, and scale the service horizontally to shed lo..."
Infrastructure,4,8,38;66;138;346;388;439;493;500,"**Suggested Resolution:** Check the cron job on PRD-WEB-03, as it is likely hitting a full `/tmp` directory. Clean the `/tmp` directory and move the j..."
Infrastructure,5,8,42;164;198;223;234;323;332;366,"**Suggested Resolution:** Trace the I/O saturation on PRD-CACHE-02 to verbose debug logging writing synchronously, disable debug logging, and move the..."
Infrastructure,6,7,40;45;58;65;153;246;496,**Suggested Resolution:** Reconfigure chrony on PRD-CACHE-03 to use the internal NTP pool and force an immediate sync to correct the time drift. *Note...
Infrastructure,7,6,46;56;114;131;171;365,**Suggested Resolution:** Check the autoscaling policy for PRD-APP-03 to see if it references a stale metric. Correct the scaling metric and cooldown ...
Infrastructure,8,5,139;147;418;454;463,"**Suggested Resolution:** Trace the I/O saturation on VM-BATCH-10 to verbose debug logging writing synchronously, then disable debug logging and move ..."
Infrastructure,9,4,68;295;428;495,**Suggested Resolution:** The health-check endpoint on PRD-CACHE-02 is likely timing out under load. Raise the probe timeout and interval on the load ...
Infrastructure,10,4,82;327;334;341,**Suggested Resolution:** Increase the memory limit for the affected container on K8S-NODE-15 and add a memory-usage alert set at 80% to catch future ...
Infrastructure,11,4,86;188;244;361,"**Suggested Resolution:** The health-check endpoint on VM-BATCH-10 is likely timing out under load. To resolve the issue, raise the probe timeout and ..."
Infrastructure,12,3,47;195;379,**Suggested Resolution:** Check if the cron job on K8S-NODE-15 is failing due to a full `/tmp` directory. Clean the `/tmp` directory and move the job'...
