id,title,description,category,resolution,priority,scenario_id
1,Automatic scaling not triggering for PRD-WEB-01,[TCK-10110] Reported by the Kolkata Branch team: the autoscaling group for PRD-WEB-01 is not adding capacity even though CPU has been pinned high for over an hour. Please investigate and resolve.,Infrastructure,"Found the autoscaling policy for PRD-WEB-01 referenced a stale metric; corrected the scaling metric and cooldown, and new instances now launch on demand.",High,8
2,New joiner access request for m.iyer,"[TCK-59722] We are observing that new employee m.iyer needs standard access provisioned to email, Vendor Portal, and the Pune Branch file shares. Requesting priority attention from the relevant team.",Access Management,"Provisioned m.iyer with the standard role granting email, Vendor Portal, and Pune Branch share access, and confirmed successful first login.",Low,0
3,High CPU on server PRD-APP-04,"[TCK-84890] Ticket raised because sustained CPU utilization above 95% on PRD-APP-04 for the last 40 minutes, causing request timeouts. This is impacting daily work.",Infrastructure,"Identified a runaway process on PRD-APP-04, capped its cgroup CPU quota, and scaled the service horizontally to shed load.",High,0
4,Role change access review for s.khan,[TCK-73529] Monitoring alerted us that user s.khan has moved teams and still holds permissions from their previous Learning Management System role that need to be reconciled. Escalating for investigation.,Access Management,"Reviewed the entitlements for s.khan, removed the obsolete Learning Management System permissions from the prior role, and assigned the correct role for their new team.",High,7
5,VPN failing for Bangalore DC users,[TCK-72601] We are observing that remote users from Bangalore DC cannot establish a VPN connection and get a timeout during negotiation. Requesting priority attention from the relevant team.,Network,"The VPN concentrator serving Bangalore DC had exhausted its IP pool; enlarged the pool and cleared stale sessions, restoring VPN access.",Low,1
6,Kubernetes node PRD-WEB-03 in NotReady state,[TCK-83147] Ticket raised because node PRD-WEB-03 shows NotReady in the cluster and pods scheduled on it are stuck in Pending. This is impacting daily work.,Infrastructure,Restarted the kubelet on PRD-WEB-03 and cleared a stale disk-pressure taint; the node rejoined the cluster and pods rescheduled.,Medium,3
7,sessions_redis backup job failing,[TCK-43343] Monitoring alerted us that the nightly backup for sessions_redis has failed for two days and no recent restore point exists. Escalating for investigation.,Database,"The sessions_redis backup was failing due to insufficient target disk space; expanded the backup volume, reran the job, and verified a test restore.",Low,4
8,NTP time drift on PRD-APP-04,"[TCK-96535] We are observing that PRD-APP-04 clock has drifted several seconds, breaking token validation and log correlation. Requesting priority attention from the relevant team.",Infrastructure,Reconfigured chrony on PRD-APP-04 to use the internal NTP pool and forced an immediate sync; drift returned to sub-millisecond.,Medium,4
9,Kubernetes node PRD-CACHE-03 in NotReady state,[TCK-90079] We are observing that node PRD-CACHE-03 shows NotReady in the cluster and pods scheduled on it are stuck in Pending. Requesting priority attention from the relevant team.,Infrastructure,Restarted the kubelet on PRD-CACHE-03 and cleared a stale disk-pressure taint; the node rejoined the cluster and pods rescheduled.,Medium,3
10,Analytics Dashboard integration with Cloudflare failing,[TCK-84393] Reported by the Kolkata Branch team: the Analytics Dashboard integration with Cloudflare has stopped syncing and shows repeated authentication failures. Please investigate and resolve.,Application,"The Cloudflare API credentials used by Analytics Dashboard had expired; rotated the token, stored it in the secrets manager, and re-enabled the sync job.",Medium,5
11,High latency to PRD-QUEUE-06,"[TCK-47987] Issue summary: network latency to PRD-QUEUE-06 has spiked to hundreds of milliseconds, degrading application response. It started earlier today and has not self-resolved.",Network,Traced the latency to a saturated link on the path to PRD-QUEUE-06; rerouted traffic over a secondary path and opened a capacity request.,High,2
12,New joiner access request for r.desai,"[TCK-82616] User r.desai reports that new employee r.desai needs standard access provisioned to email, Vendor Portal, and the Noida Tech Park file shares. Kindly look into this at the earliest.",Access Management,"Provisioned r.desai with the standard role granting email, Vendor Portal, and Noida Tech Park share access, and confirmed successful first login.",Low,0
13,Malware detected on endpoint of s.khan,[TCK-27255] We are observing that the EDR agent flagged and quarantined a trojan on the workstation belonging to s.khan. Requesting priority attention from the relevant team.,Security,"Isolated the endpoint of s.khan from the network, ran a full offline scan to remove the trojan, and re-imaged the machine as a precaution.",Medium,2
14,Unpatched critical CVE on PRD-DB-11,"[TCK-31215] Support desk logged the following: vulnerability scanning found a critical, actively-exploited CVE unpatched on PRD-DB-11. Awaiting assignment to the right team.",Security,Applied the vendor security patch to PRD-DB-11 during an emergency change window and rescanned to confirm the CVE was remediated.,High,4
15,Offboarding access revocation for a.kulkarni,[TCK-15172] User a.kulkarni reports that leaver a.kulkarni has left the company and all their access needs to be revoked immediately. Kindly look into this at the earliest.,Access Management,"Disabled the a.kulkarni account, revoked all group memberships and tokens, and transferred owned resources to their manager.",Medium,4
16,Password reset for s.joshi,[TCK-87533] Flagged during routine checks: user s.joshi is locked out and has requested a password reset for their corporate account. Please confirm root cause and next steps.,Access Management,"Verified the identity of s.joshi, reset the password, and required a change plus MFA re-registration at next login.",Medium,1
17,Exposed secret found in repository,[TCK-51896] User a.kulkarni reports that an automated scan detected a live cloud access key committed to a source repository. Kindly look into this at the earliest.,Security,"Revoked the leaked cloud key immediately, rotated all affected credentials, and enabled pre-commit secret scanning to block future leaks.",Medium,5
18,Memory exhaustion on PRD-WEB-01,[TCK-21980] Flagged during routine checks: PRD-WEB-01 is reporting out-of-memory kills and the OOM killer has terminated critical services. Please confirm root cause and next steps.,Infrastructure,Increased the memory limit for the affected container on PRD-WEB-01 and added a memory-usage alert at 80% to catch it earlier.,Low,2
19,Field Service App crashes on file upload,[TCK-79494] Ticket raised because Field Service App crashes with a 502 whenever a user attempts to upload a file larger than a few megabytes. This is impacting daily work.,Application,"Raised the upload body-size limit in the Field Service App reverse proxy and worker config, then verified large uploads complete successfully.",Low,3
20,High CPU on server PRD-APP-03,"[TCK-21485] Support desk logged the following: sustained CPU utilization above 95% on PRD-APP-03 for the last 40 minutes, causing request timeouts. Awaiting assignment to the right team.",Infrastructure,"Identified a runaway process on PRD-APP-03, capped its cgroup CPU quota, and scaled the service horizontally to shed load.",Medium,0
21,Open management port 443 exposed on STG-APP-08,[TCK-24778] Reported by the Pune Branch team: an external scan found management port 443 on STG-APP-08 reachable from the public internet. Please investigate and resolve.,Security,"Restricted port 443 on STG-APP-08 to the internal management network via firewall and security-group rules, then verified it was no longer externally reachable.",High,8
22,Brute-force attack against CRM login,[TCK-26974] Ticket raised because monitoring shows a high-volume password-guessing attack hammering the CRM login endpoint from many IP addresses. This is impacting daily work.,Security,"Enabled rate limiting and account lockout on the CRM login endpoint, added the attacking ranges to a block list, and turned on CAPTCHA after repeated failures.",Medium,6
23,Offboarding access revocation for r.desai,[TCK-83589] Reported by the Chennai Support team: leaver r.desai has left the company and all their access needs to be revoked immediately. Please investigate and resolve.,Access Management,"Disabled the r.desai account, revoked all group memberships and tokens, and transferred owned resources to their manager.",Low,4
24,Unpatched critical CVE on PRD-CACHE-02,"[TCK-73572] Reported by the Kolkata Branch team: vulnerability scanning found a critical, actively-exploited CVE unpatched on PRD-CACHE-02. Please investigate and resolve.",Security,Applied the vendor security patch to PRD-CACHE-02 during an emergency change window and rescanned to confirm the CVE was remediated.,High,4
