index,text,expected,predicted,tier1_conf,tier_used,correct
0,The automatic night reports failed to run again because the main processing machines ran out of memory before finishing.,Infrastructure,Infrastructure,0.284614,2,True
1,"Whenever I try to join a meeting using our video conferencing program, my microphone cuts out completely after about two minutes and nobody can hear me.",Application,Network,0.251996,2,False
2,"I got an email today claiming our security certificate is out of date and telling me to click a link to renew it right now or our accounts will be frozen. It looks really official, but I'm worried it might be a trap. Can someone check if this is real?",Security,Security,0.523738,1,True
3,"When I look at our sales figures from yesterday, half the numbers are completely missing and the system says it can't find where the daily totals were stored.",Database,Database,0.23403,2,True
4,"The shared folder where our team keeps all our documents has completely vanished from my computer this morning. I tried restarting my machine twice, but the network drive still won't show up anywhere.",Storage,Storage,0.510765,1,True
5,"Whenever I try to log into the system from my desk today, it just sits there loading forever and eventually says it cannot reach the address. My coworker sitting right across from me is having the exact same issue trying to pull anything up.",Network,Database,0.659977,1,False
6,"I tried to log into the main scheduling portal this morning and it keeps telling me my password is wrong, even though I just changed it yesterday. Could someone reset my login so I can get in for my shift?",Access Management,Access Management,0.286397,2,True
7,"The main computer running our background tasks completely froze up because it ran out of memory, and now all our automated processes are stuck in place.",Infrastructure,Infrastructure,0.326467,2,True
8,"Whenever our online store gets busy with shoppers, the underlying computers just grind to a complete halt instead of bringing up extra capacity like they are supposed to do.",Infrastructure,Database,0.269686,2,False
9,"The main server running our department applications is completely overloaded and grinding to a halt because it ran out of memory, so nobody can get any work done right now.",Infrastructure,Infrastructure,0.339003,2,True
10,"The main computer running our overnight processing completely ground to a halt and crashed because it ran out of memory, so none of our automated tasks finished this morning.",Infrastructure,Infrastructure,0.293935,2,True
11,All of our shared systems are crawling at a snail's pace and freezing up completely because the main server running them has run totally out of memory.,Infrastructure,Infrastructure,0.32469,2,True
12,"None of our department's shared virtual servers will start up this morning, leaving our entire team locked out of the platforms we need for today's projects.",Infrastructure,Infrastructure,0.313092,2,True
13,"Our main server rack is completely frozen and unresponsive because the machines ran entirely out of memory, so nobody in the office can load any of our shared tools right now.",Infrastructure,Storage,0.369298,2,False
14,None of our shared systems are loading anything this morning and the main computers running them seem completely overloaded and stuck. It looks like the main servers have totally run out of memory again because everything is frozen solid.,Infrastructure,Infrastructure,0.328541,2,True
15,"None of our department's shared virtual servers will boot up at all this morning, leaving the main machines running our team platforms completely unresponsive and frozen.",Infrastructure,Infrastructure,0.345347,2,True
16,"The main machine running our shared team platform completely froze up and crashed because it ran out of memory, leaving everyone unable to load anything this morning.",Infrastructure,Storage,0.27626,2,False
17,"The main computer running all our department's shared applications has completely seized up and won't respond because it ran entirely out of memory, so nobody can get anything to load right now.",Infrastructure,Storage,0.223975,2,False
18,"Our main server running all our team software completely froze up and crashed because it ran completely out of memory, so nobody can load anything right now.",Infrastructure,Infrastructure,0.50821,1,True
19,"The main server running our shared tools completely locked up and crashed because it ran out of memory, and now nobody in the department can load anything.",Infrastructure,Storage,0.389156,2,False
20,None of our team tools will load this morning and the main computers running them are completely overloaded and stuck. It looks like the shared servers ran completely out of memory and everything has ground to a halt.,Infrastructure,Infrastructure,0.363726,2,True
21,"The big shared computer hosting our department apps completely choked and stopped responding because it ran totally out of memory, so nobody can load anything right now.",Infrastructure,Storage,0.316677,2,False
22,"The main computer hosting our department tools has completely bogged down and refuses to respond because it ran out of memory, leaving everyone unable to get any work done today.",Infrastructure,Storage,0.250716,2,False
23,"Our main server running all our company tools completely locked up and won't respond because it ran entirely out of memory, leaving everyone unable to get any work done this morning.",Infrastructure,Infrastructure,0.246606,2,True
24,Every single shared tool our team uses is totally frozen and unresponsive right now because the main server running them has completely run out of memory. Nobody can load anything at all until those machines get sorted out.,Infrastructure,Database,0.294978,2,False
25,"Whenever I try to send our weekly payroll report through the accounting software, it gives me a weird popup message and completely erases the recipient list. I've tried typing the emails in again three times, but it keeps happening.",Application,Application,0.49834,2,True
26,"Whenever I try to export my campaign results from the marketing dashboard, the screen goes completely blank and none of the charts will download. I've tried using a different browser, but the same thing keeps happening.",Application,Application,0.296448,2,True
27,"Whenever I try to pull up the weekly sales dashboard in our analytics tool, the page just loads for ten minutes and then says the connection timed out. I really need to see these numbers for my meeting this afternoon.",Application,Database,0.353409,2,False
28,"Whenever I try to send out an automatic payment reminder through our billing platform, it just sits there spinning and never actually emails the clients. I've tried doing it three times this morning and nothing goes through.",Application,Application,0.298741,2,True
29,"Whenever I try to schedule a candidate interview through our recruiting platform, the calendar invite never actually sends out to the applicant. I've tried hitting send multiple times, but nothing goes through.",Application,Application,0.355995,2,True
30,"Whenever I try to sync my customer records in the CRM tool with our email system, it just hangs on a blank screen and nothing gets updated. I need this working before my afternoon calls.",Application,Application,0.320426,2,True
31,"Whenever I try to upload my signed contract into the legal approval program, the screen freezes up completely and refuses to finish the upload. I've tried doing it three times now and it just gets stuck every single time.",Application,Application,0.223112,2,True
32,"Whenever I try to export my weekly project status from the task manager, the program immediately closes itself without saving my changes. I've tried doing it three times now and it keeps happening.",Application,Infrastructure,0.352982,2,False
33,"Whenever I try to download my monthly commission statement from the sales portal, the page just freezes completely and I have to close out of my whole browser. I've tried doing it multiple times today and it keeps happening.",Application,Database,0.274037,2,False
34,"Whenever I try to export my monthly budget report from the finance tool, the screen goes completely blank and it kicks me all the way back to the main login page. I've tried doing it three times and it happens every single time.",Application,Application,0.350071,2,True
35,"Every time I try to join our daily team huddle on the video calling software, my screen freezes for a second and then completely shuts the meeting down. I've tried restarting my computer twice, but it keeps happening as soon as I click join.",Application,Application,0.183372,2,True
36,"Whenever I try to send out our monthly customer newsletter using the email marketing tool, it gives me an error message right at the end and fails to send anything. I've tried doing it three times and it keeps happening.",Application,Application,0.488817,2,True
37,"Whenever I try to upload my presentation slides to our training portal, the page just turns completely white and won't let me finish. I've tried doing it three times now and it keeps happening.",Application,Application,0.373036,2,True
38,"Whenever I try to link my calendar in our scheduling tool to my email, it throws up a strange error message and disconnects entirely. I've tried doing it multiple times this morning and it keeps failing.",Application,Application,0.345906,2,True
39,"Whenever I try to pull up the customer feedback form in our survey tool, the page just spins forever and never loads any of the responses. I've tried refreshing multiple times but nothing comes up.",Application,Database,0.58527,1,False
40,"Whenever I try to upload my scanned receipts into the expense reporting app, the page just spins endlessly and never finishes processing. I really need to get my travel reimbursement submitted before the deadline today.",Application,Application,0.307697,2,True
41,"Whenever I try to send out our automatic payment reminders through the billing software, it gives me a sudden error message and clears out my entire queue. I've tried running it twice now and it keeps happening.",Application,Application,0.333168,2,True
42,"Whenever I try to generate our monthly inventory report in the warehouse management system, the program just locks up completely and refuses to finish. I really need this done today so management can see what we have in stock.",Application,Database,0.260935,2,False
43,"Whenever I try to upload my scanned tax documents into our accounting software, the program immediately crashes and loses all my progress. I've tried restarting the app multiple times, but it keeps happening every single time I touch that button.",Application,Application,0.348231,2,True
44,"Whenever I try to schedule a client follow-up through our customer service platform, the calendar pop-up freezes completely and won't let me pick a time. I've tried closing and reopening it, but it keeps happening.",Application,Application,0.271411,2,True
45,"Whenever I try to send out our automated shift reminders through the scheduling tool, the screen turns completely blank and nothing gets sent to the team. I've tried refreshing multiple times but it keeps happening.",Application,Application,0.230943,2,True
46,"Whenever I try to generate our monthly membership report in the club management software, the page just turns completely blank and kicks me back to the main menu. I really need this fixed so I can send the numbers to my boss.",Application,Database,0.250922,2,False
47,"Whenever I try to export my weekly student attendance sheet from the education portal, the page just freezes completely and kicks me back to the main menu. I've tried refreshing multiple times but it won't let me download the file.",Application,Application,0.330996,2,True
48,"Whenever I try to pull up our quarterly inventory sheet in the warehouse manager tool, the whole page turns completely blank and refuses to load any of the items. I've tried refreshing multiple times but it just keeps happening.",Application,Application,0.302758,2,True
49,"My mouse started moving around and clicking on things by itself on my screen while I was sitting here not touching it, and I am really freaked out that someone else is controlling my computer.",Security,Security,0.30226,2,True
50,"My laptop screen suddenly went black and started typing weird command lines by itself while a box popped up saying my files were being copied somewhere else. I got so scared I just pulled the plug out of the wall, but I don't know what I should do next.",Security,Storage,0.379343,2,False
51,"My phone keeps buzzing with sign-in approvals for apps I am not even trying to open, and I am worried someone has my password.",Security,Security,0.409052,2,True
52,My web browser suddenly redirected me to a really weird warning page saying my security certificate is untrusted and blocking me from getting to our main payroll site. Is our website down or has something bad happened?,Security,Security,0.245396,2,True
53,"My screen just locked up and a scary red warning message popped up saying all my documents were stolen and I need to email some address to get them back. I am terrified to touch my keyboard right now, what do I do?",Security,Security,0.312315,2,True
54,"I received an email that looks like it came from our bank saying our company account was compromised and urging me to download an urgent security patch attached to the message. I didn't open the file yet, but I wanted to report it right away just in case it's dangerous.",Security,Security,0.365776,2,True
55,"I got an email from someone claiming to be our software provider saying there is a critical breach and I need to run this attached cleanup tool immediately, but it looks really suspicious. Should I open it?",Security,Security,0.415349,2,True
56,"I noticed a bunch of money was just sent out of our department's company credit card to some online store in another country that I've never heard of, and nobody on our team made that purchase. Could someone please look into this right away because I think our card details got stolen?",Security,Security,0.26348,2,True
57,"My web browser suddenly started flashing red warning signs and won't let me open any company pages because it says the security certificate is completely invalid and untrusted. I'm really worried to proceed in case someone is intercepting our traffic, so could someone take a look?",Security,Security,0.32329,2,True
58,"I got an email from a delivery service saying I missed a package and need to click a link to reschedule it, but the tracking number doesn't match anything I've ordered and now I'm worried I compromised my login details by clicking it.",Security,Security,0.330323,2,True
59,"I noticed a folder on my desktop that I definitely didn't create, and when I tried to look inside, a bunch of black windows started popping up and typing things on their own. I am really scared my computer is being controlled by someone else, so I unplugged the internet cable just to be safe.",Security,Security,0.3093,2,True
60,"I got an email from someone saying they hacked my webcam and recorded me, and they are demanding Bitcoin or they will send the video to everyone in my contact list. I am really scared and don't know what to do.",Security,Security,0.293248,2,True
61,"I just opened an attachment from an email that looked like it was from our shipping department, and immediately a bunch of weird windows flashed on my screen and started running commands by themselves. I am really scared my computer is hacked, what should I do?",Security,Security,0.243485,2,True
62,"I noticed a bunch of strange text files appeared in my work folder overnight with names in a foreign language I don't recognize, and now I can't open my spreadsheet. Could someone please check if my computer got hacked?",Security,Security,0.421378,2,True
