index,text,expected,predicted,tier1_conf,tier_used,correct
0,I got a new laptop and now the system keeps saying my username or password is wrong even though I'm sure it's right. Can someone reset me so I can get back in?,Access Management,Access Management,0.454704,1,True
1,My manager said I should be able to see the finance shared folder but it just says I'm not allowed. Can you give me permission to open it?,Access Management,Access Management,0.245726,1,True
2,The wifi in the third floor meeting room keeps dropping every few minutes so we can't run our video calls. Everyone else in the building seems fine.,Network,Storage,0.345098,1,False
3,Pages take forever to load today and sometimes just time out. My colleague next to me has the same slowness on her machine too.,Network,Database,0.265649,1,False
4,I keep getting a message that there's no room left to save my files and I can't download the report I need. It says the drive is full.,Storage,Storage,0.38755,1,True
5,I tried to save my presentation but it won't let me because it says I've run out of space in my folder. How do I free some up?,Storage,Database,0.367847,1,False
6,When I try to pull up last month's customer records the whole thing just spins and then shows an error about not being able to reach the records system.,Database,Database,0.929638,1,True
7,The report tool says it can't find the numbers it needs and mentions something about a broken connection to where the data is kept.,Database,Database,0.737856,1,True
8,"I got a weird email pretending to be from HR asking me to type in my password on a link, and I think I might have clicked it by mistake. What should I do?",Security,Security,0.432072,1,True
9,My antivirus popped up a warning that something suspicious was blocked and now I'm worried my computer has a virus on it.,Security,Network,0.246595,1,False
10,Every time I open the expense program it freezes on the loading screen and then closes itself. I've tried restarting but it keeps crashing.,Application,Database,0.191177,1,False
11,The invoicing software gives me an error and shuts down whenever I click the print button. Nothing prints at all.,Application,Database,0.759935,1,False
12,None of the company websites are working for anyone in the office this morning - it looks like one of the main servers might be down.,Infrastructure,Network,0.266765,1,False
13,The whole team can't reach any of our internal tools and someone said a machine in the server room overheated and shut off overnight.,Infrastructure,Database,0.193742,1,False
14,The notes app I use for meetings keeps wiping out everything I type right after I save it. I've lost my notes twice today already and I really need this fixed.,Application,Access Management,0.198716,1,False
15,"Whenever I try to upload my presentation slides to the company video tool, the whole thing just spins for a few minutes and then tells me my session expired. I've tried logging out and back in three times now and it keeps happening.",Application,Database,0.404001,1,False
16,"The time-tracking app won't let me submit my hours for last week because the submit button is completely grayed out. I've tried clicking around and closing the tab, but it's still stuck.",Application,Database,0.251914,1,False
17,"The messaging program on my computer keeps logging me out by itself every ten minutes. When I try to type my password back in, the screen just goes completely white and I have to force quit the whole thing.",Application,Access Management,0.254848,1,False
18,The spreadsheet program keeps scrambling all my formulas every time I try to share the file with my team. Half the numbers turn into error codes and I have to keep undoing my changes.,Application,Storage,0.487359,1,False
