item_id,arm,ticket_id,groundedness_item_id,top_similarity,escalation_reason,human_label,human_hedge_appropriate,context_distinct_fixes_posthoc,gemini_verdict,gemini_reason,qwen_verdict,qwen_reason,arms_agree,draft_declines_posthoc,decline_phrases_posthoc,prompt_sha256
S001,escalated,N23,,0.626513659954071,low_retrieval_similarity,,,,INSUFFICIENT,"The retrieved tickets address server and storage volume capacity issues, whereas the new ticket requires clearing local junk files on a user's workstation to free up space for photo editing software.",SUFFICIENT,"The retrieved tickets address issues related to disk fullness and I/O saturation, which are similar to the new ticket's problem of a nearly full hard drive and freezing software.",False,False,,ee4c9d1739debf0197e0d0773c5cf278eaa9f9704ff0b009e53f69e63bf87e8c
S002,eligible,N31,G024,0.6747423410415649,none,ungrounded,True,1,INSUFFICIENT,"The retrieved tickets address NTFS permission issues and file access errors, whereas the new ticket describes a ransomware infection demanding payment.",INSUFFICIENT,"The retrieved tickets all address issues with folders \fs01\*, \fs02\*, \nas03\*, and \fs02\*. The new ticket does not mention any of these folders, so a resolution cannot be directly applied.",True,True,do not match; not match; escalate,3305986faeb9fc85ffe896f0a41a00219e8496864adf7ab143198a9b4e67eab0
S003,escalated,N42,,0.6121569871902466,low_retrieval_similarity,,,,INSUFFICIENT,"The retrieved context lacks a ticket addressing general system freezing or automatic scaling failures under load for the specific system, as the scaling ticket only covers a stale metric on a single host (PRD-APP-04).",INSUFFICIENT,The retrieved tickets do not address the issue of the system freezing up during a big rush of users.,True,False,,6499b41b73af7d51cf5b1fc9299b009bbaee3d7f4dcc50f68cd45c96cc5e79e4
S004,eligible,A03,G026,0.6704270839691162,none,grounded,True,4,INSUFFICIENT,"The retrieved tickets address specific database connection errors and application login issues for named portals, whereas the new ticket is extremely vague and reports a total inability to access anything without specifying the underlying cause or system involved.",INSUFFICIENT,"The new ticket does not report a database connection issue, and the retrieved tickets all address database connection issues.",True,False,,18074eab3f055a0d2e67b9836e57e72b758db427ed528d6722900528929a2286
S005,eligible,N27,G011,0.7543913125991821,none,grounded,True,1,INSUFFICIENT,"The retrieved tickets deal with permission errors when opening files, whereas the new ticket reports a storage quota or permission issue specifically preventing saving new files to a shared folder.",INSUFFICIENT,"The retrieved tickets all address issues with the \fs02older, not the \fs01older mentioned in the new ticket.",True,False,,2beded2f8c53b4259bb6619c75fcbb33aec34caa54067bc9bf3de43a8734f664
S006,escalated,A01,,0.5176095962524414,low_retrieval_similarity,,,,INSUFFICIENT,The retrieved context lacks any tickets addressing weather inquiries or meteorological information.,INSUFFICIENT,"The retrieved tickets all address issues related to Payroll or Workday access, but do not address the weather query.",True,False,,7f8942951b541165ebd1ee030a094a2a1419f1ee05630de94364de88843de8c5
S007,eligible,N24,G004,0.699328601360321,none,grounded,True,2,INSUFFICIENT,"The retrieved context deals with organizational data center storage quotas and primary storage volume capacity, whereas the new ticket is about an individual user's cloud account storage being full.",INSUFFICIENT,"The retrieved tickets all address storage issues related to the Bangalore DC team, but do not directly address the user's issue of a zero gigabytes left problem.",True,False,,4ea27d506441d00886ef66ee5aa62913577d36972922dd86ad9fcbfbd0e0d5fe
S008,eligible,A05,G019,0.6765815019607544,none,grounded,True,4,INSUFFICIENT,"The new ticket provides no details about the specific problem, application, or error, whereas the retrieved tickets address specific connection issues for named applications.",INSUFFICIENT,"The retrieved tickets all address issues with Payroll showing errors about broken connections to data storage, but the new ticket is about something else that is not working properly.",True,False,,1abdf503631fb04346b86ef3d4d7f5877f4758057ee1bbb5f23d9992fd1376ec
S009,eligible,N39,G028,0.7392354607582092,none,grounded,True,2,INSUFFICIENT,"The retrieved tickets address general VPN connection timeouts for specific office pools or remote user groups, whereas the new ticket describes an inability to open the company portal over the new VPN from home.",INSUFFICIENT,"The retrieved tickets all pertain to users from different locations (Bangalore DC, Mumbai HQ, and Remote/WFH) having issues with the VPN, not the user from home having issues.",True,False,,0fa8ab7bc1e6ba0280e4ff3c5c080c6be35c0502342b07b69fa8877a4571f6eb
S010,eligible,N11,G013,0.7324777245521545,none,grounded,True,4,INSUFFICIENT,"The retrieved tickets cover login failures, database connection errors, and slow page loads, but none address the application freezing on the loading screen and crashing.",INSUFFICIENT,The retrieved tickets do not address the issue of the expense program freezing on the loading screen and then closing itself.,True,False,,daed45620ceedaf4d8be3005f728fdc7d5cc316cf20967ac631a7b3857991f8c
