section,key,text,expected,predicted,tier1_conf,tier_used,top_similarity,escalated,would_call_gemini,correct
classification,0,I got a new laptop and now the system keeps saying my username or password is wrong even though I'm sure it's right. Can someone reset me so I can get back in?,Access Management,Access Management,0.454704,2,,,,True
classification,1,My manager said I should be able to see the finance shared folder but it just says I'm not allowed. Can you give me permission to open it?,Access Management,Access Management,0.245726,2,,,,True
classification,2,The wifi in the third floor meeting room keeps dropping every few minutes so we can't run our video calls. Everyone else in the building seems fine.,Network,Network,0.345098,2,,,,True
classification,3,Pages take forever to load today and sometimes just time out. My colleague next to me has the same slowness on her machine too.,Network,Application,0.265649,2,,,,False
classification,4,I keep getting a message that there's no room left to save my files and I can't download the report I need. It says the drive is full.,Storage,Storage,0.38755,2,,,,True
classification,5,I tried to save my presentation but it won't let me because it says I've run out of space in my folder. How do I free some up?,Storage,Storage,0.367847,2,,,,True
classification,6,When I try to pull up last month's customer records the whole thing just spins and then shows an error about not being able to reach the records system.,Database,Database,0.929638,1,,,,True
classification,7,The report tool says it can't find the numbers it needs and mentions something about a broken connection to where the data is kept.,Database,Database,0.737856,1,,,,True
classification,8,"I got a weird email pretending to be from HR asking me to type in my password on a link, and I think I might have clicked it by mistake. What should I do?",Security,Security,0.432072,2,,,,True
classification,9,My antivirus popped up a warning that something suspicious was blocked and now I'm worried my computer has a virus on it.,Security,Security,0.246595,2,,,,True
classification,10,Every time I open the expense program it freezes on the loading screen and then closes itself. I've tried restarting but it keeps crashing.,Application,Database,0.191177,2,,,,False
classification,11,The invoicing software gives me an error and shuts down whenever I click the print button. Nothing prints at all.,Application,Database,0.759935,1,,,,False
classification,12,None of the company websites are working for anyone in the office this morning - it looks like one of the main servers might be down.,Infrastructure,Application,0.266765,2,,,,False
classification,13,The whole team can't reach any of our internal tools and someone said a machine in the server room overheated and shut off overnight.,Infrastructure,Infrastructure,0.193742,2,,,,True
classification,14,The notes app I use for meetings keeps wiping out everything I type right after I save it. I've lost my notes twice today already and I really need this fixed.,Application,Database,0.198716,2,,,,False
classification,15,"Whenever I try to upload my presentation slides to the company video tool, the whole thing just spins for a few minutes and then tells me my session expired. I've tried logging out and back in three times now and it keeps happening.",Application,Application,0.404001,2,,,,True
classification,16,"The time-tracking app won't let me submit my hours for last week because the submit button is completely grayed out. I've tried clicking around and closing the tab, but it's still stuck.",Application,Application,0.251914,2,,,,True
classification,17,"The messaging program on my computer keeps logging me out by itself every ten minutes. When I try to type my password back in, the screen just goes completely white and I have to force quit the whole thing.",Application,Application,0.254848,2,,,,True
classification,18,The spreadsheet program keeps scrambling all my formulas every time I try to share the file with my team. Half the numbers turn into error codes and I have to keep undoing my changes.,Application,Storage,0.487359,2,,,,False
classification,19,"Every time I add a new product to the inventory tool, it just loads forever and none of my new items show up on anyone else's screen. It's like the changes are vanishing into thin air instead of saving where they're supposed to.",Database,Application,0.257278,2,,,,False
classification,20,"I was entering the new client addresses into our main client tracker, but when I came back from lunch, none of the new names were there and my search just keeps bringing up a blank page.",Database,Application,0.283764,2,,,,False
classification,21,"I went through and deleted all those duplicate vendor entries in the main lookup list, but every time I close the program and open it back up, all the duplicates are right back there like I didn't do anything.",Database,Database,0.196945,2,,,,True
classification,22,My computer keeps popping up a warning saying my hard drive is almost completely red and I can't even open my photo editing software anymore. Can someone help me delete some junk or get more room so my computer stops freezing up?,Storage,Storage,0.236184,2,,,,True
